"","Study_ID","pool","meancheat","meansage","meansagecheat","meansalt","ncheat","nsage","nsagecheat","nsalt","varcheat","varsage","varsagecheat","varsalt","veg","yrssinceb","geometry"
"124",1242,"BGBC_g_m2",NA,NA,37.738,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298643.98378478, 814100.157888429)
"125",1244,"orgsoilC_g_m2",NA,NA,1099.561,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298643.98378478, 814100.157888429)
"126",1247,"BGBC_g_m2",NA,NA,198.64,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298783.32196309, 814445.33609107)
"127",1249,"orgsoilC_g_m2",NA,NA,4245.921,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",1,c(-1298783.32196309, 814445.33609107)
"128",1252,"BGBC_g_m2",NA,NA,64.139,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1772987.56399856, 1252046.45236777)
"129",1254,"orgsoilC_g_m2",NA,NA,2412.608,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1772987.56399856, 1252046.45236777)
"130",1257,"BGBC_g_m2",NA,NA,22.318,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773749.49913423, 1252264.66446016)
"131",1259,"orgsoilC_g_m2",NA,NA,1995.268,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773749.49913423, 1252264.66446016)
"132",1262,"BGBC_g_m2",NA,NA,48.482,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773130.672765, 1252185.97605305)
"133",1264,"orgsoilC_g_m2",NA,NA,2019.072,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773130.672765, 1252185.97605305)
"134",1267,"BGBC_g_m2",NA,NA,701.867,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1772805.42089003, 1252146.21145902)
"135",1269,"orgsoilC_g_m2",NA,NA,4139.379,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1772805.42089003, 1252146.21145902)
"136",1272,"BGBC_g_m2",NA,NA,127.23,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773502.08873288, 1252348.06304544)
"137",1274,"orgsoilC_g_m2",NA,NA,1882.229,NA,NA,NA,1,NA,NA,NA,NA,NA,"sagecheat",NA,c(-1773502.08873288, 1252348.06304544)
