"","site","yr_samp","BD_g_cm3","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID"
"61",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
"62",NA,"2011",1.422,0,4,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2108
"63",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"64",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"65",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"66",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"67",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"68",NA,"2011",1.422,4,8,"yes","cheatgrass","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2115
"69",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"70",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"71",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"72",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"73",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"74",NA,"2011",1.422,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2122
"75",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"76",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"77",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"78",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"79",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"80",NA,"2011",1.422,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"WEBE2015","AGBC_g_m2",NA,2129
"81","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"82","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"83","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"84","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"85","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"86","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"87","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"88","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"89","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"90","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"91","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"92","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"93","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"94","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"95","Cindercone Butte","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,183
"96","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"97","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"98","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"99","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"100","Cindercone Butte","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,190
"101","Cindercone Butte","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,169
"102","Cindercone Butte","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,169
"103","Cindercone Butte","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,169
"104","Cindercone Butte","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,169
"105","Cindercone Butte","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,169
"106","Cindercone Butte","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,176
"107","Cindercone Butte","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,176
"108","Cindercone Butte","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,176
"109","Cindercone Butte","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,176
"110","Cindercone Butte","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"BLAN2006","AGBC_g_m2",NA,176
"111","Canyon Creek","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,211
"112","Canyon Creek","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,211
"113","Canyon Creek","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,211
"114","Canyon Creek","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,211
"115","Canyon Creek","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,211
