"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",61.14,567,2011,"43","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,8
"E",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",25.88,567,2011,"44","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,8
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",65.83,592,2011,"45",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,61
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",65.14,592,2011,"46",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,61
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",48.21,592,2011,"47",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,61
"O",NA,NA,"no","cheatgrass","Jones et al. 2015",NA,"JONE2015","AGBC_g_m2",107.07,592,2011,"48",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,61
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",13.06,553,2012,"49","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,9
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",11.48,553,2012,"50","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,9
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",20.91,553,2012,"51","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,9
"E",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",12.12,553,2012,"52","NV4123811739819890714",1989,41.229507,-117.4019367,2003,2003,NA,2003,9
