"","site","yr_samp","AGBC_g_m2","BGBC_g_m2","litterC_g_m2","orgsoilperC","totsoilperC","BD_g_cm3","orgsoilC_g_m2","totsoilC_g_m2","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","study_year"
"70",NA,"2011",NA,NA,NA,2.56,NA,1.422,1456.128,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"71",NA,"2011",NA,NA,NA,3.03,NA,1.422,1723.464,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"72",NA,"2011",NA,NA,NA,3.25,NA,1.422,1848.6,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"73",NA,"2011",NA,NA,NA,3.47,NA,1.422,1973.736,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"74",NA,"2011",NA,NA,NA,3.96,NA,1.422,2252.448,NA,0,4,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"75",NA,"2011",NA,NA,NA,1.39,NA,1.422,790.632,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"76",NA,"2011",NA,NA,NA,1.94,NA,1.422,1103.472,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"77",NA,"2011",NA,NA,NA,1.58,NA,1.422,898.704,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"78",NA,"2011",NA,NA,NA,1.2,NA,1.422,682.56,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"79",NA,"2011",NA,NA,NA,1.5,NA,1.422,853.2,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"80",NA,"2011",NA,NA,NA,1.49,NA,1.422,847.512,NA,4,8,"yes","sagebrush","Weber et al. 2015",42.853,-112.402,4,"2015"
"81","Cindercone Butte","2006",NA,NA,NA,0.778,NA,1.422,1106.316,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"82","Cindercone Butte","2006",NA,NA,NA,0.747,NA,1.422,1062.234,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"83","Cindercone Butte","2006",NA,NA,NA,1.07,NA,1.422,1521.54,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"84","Cindercone Butte","2006",NA,NA,NA,1.83,NA,1.422,2602.26,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"85","Cindercone Butte","2006",NA,NA,NA,0.703,NA,1.422,999.666,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"86","Cindercone Butte","2006",NA,NA,NA,0.699,NA,1.35,943.65,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"87","Cindercone Butte","2006",NA,NA,NA,0.504,NA,1.35,680.4,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"88","Cindercone Butte","2006",NA,NA,NA,0.536,NA,1.35,723.6,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"89","Cindercone Butte","2006",NA,NA,NA,1.49,NA,1.35,2011.5,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"90","Cindercone Butte","2006",NA,NA,NA,0.574,NA,1.35,774.9,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"91","Cindercone Butte","2006",NA,NA,NA,0.456,NA,1.422,648.432,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"92","Cindercone Butte","2006",NA,NA,NA,0.375,NA,1.422,533.25,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"93","Cindercone Butte","2006",NA,NA,NA,1.15,NA,1.422,1635.3,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"94","Cindercone Butte","2006",NA,NA,NA,0.523,NA,1.422,743.706,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"95","Cindercone Butte","2006",NA,NA,NA,0.558,NA,1.422,793.476,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"96","Cindercone Butte","2006",NA,NA,NA,0.39,NA,1.35,526.5,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"97","Cindercone Butte","2006",NA,NA,NA,0.313,NA,1.35,422.55,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"98","Cindercone Butte","2006",NA,NA,NA,0.512,NA,1.35,691.2,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"99","Cindercone Butte","2006",NA,NA,NA,0.392,NA,1.35,529.2,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"100","Cindercone Butte","2006",NA,NA,NA,0.364,NA,1.35,491.4,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.247,-115.901,10,"2006"
"101","Cindercone Butte","2006",NA,NA,NA,0.548,NA,1.422,779.256,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"102","Cindercone Butte","2006",NA,NA,NA,0.538,NA,1.422,765.036,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"103","Cindercone Butte","2006",NA,NA,NA,0.344,NA,1.422,489.168,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"104","Cindercone Butte","2006",NA,NA,NA,0.639,NA,1.422,908.658,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"105","Cindercone Butte","2006",NA,NA,NA,0.42,NA,1.422,597.24,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"106","Cindercone Butte","2006",NA,NA,NA,0.356,NA,1.35,480.6,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"107","Cindercone Butte","2006",NA,NA,NA,0.458,NA,1.35,618.3,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"108","Cindercone Butte","2006",NA,NA,NA,0.268,NA,1.35,361.8,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"109","Cindercone Butte","2006",NA,NA,NA,0.394,NA,1.35,531.9,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"110","Cindercone Butte","2006",NA,NA,NA,0.393,NA,1.35,530.55,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.247,-115.901,10,"2006"
"111","Canyon Creek","2006",NA,NA,NA,0.446,NA,1.422,634.212,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"112","Canyon Creek","2006",NA,NA,NA,0.487,NA,1.422,692.514,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"113","Canyon Creek","2006",NA,NA,NA,1.15,NA,1.422,1635.3,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"114","Canyon Creek","2006",NA,NA,NA,0.428,NA,1.422,608.616,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"115","Canyon Creek","2006",NA,NA,NA,0.329,NA,1.422,467.838,NA,0,10,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"116","Canyon Creek","2006",NA,NA,NA,0.396,NA,1.35,534.6,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"117","Canyon Creek","2006",NA,NA,NA,0.363,NA,1.35,490.05,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"118","Canyon Creek","2006",NA,NA,NA,0.489,NA,1.35,660.15,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"119","Canyon Creek","2006",NA,NA,NA,0.415,NA,1.35,560.25,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
